Year,Sex,Age Group,COVID-19 Deaths,Pneumonia Deaths,Influenza Deaths
2020.0,All Sexes,85 years and over,1536.0,1448.0,26.0
2020.0,Male,35-44 years,73.0,54.0,0.0
2020.0,Female,35-44 years,35.0,30.0,0.0
2020.0,Female,85 years and over,840.0,740.0,19.0
2020.0,All Sexes,15-24 years,27.0,28.0,0.0
2020.0,All Sexes,50-64 years,2365.0,2537.0,21.0
2020.0,All Sexes,55-64 years,1795.0,1943.0,16.0
2020.0,All Sexes,65-74 years,2926.0,3388.0,21.0
2020.0,All Sexes,75-84 years,2976.0,3365.0,16.0
2020.0,All Sexes,85 years and over,1844.0,2046.0,10.0
2020.0,Male,15-24 years,18.0,21.0,0.0
2020.0,Male,25-34 years,73.0,89.0,0.0
2020.0,Male,50-64 years,1528.0,1576.0,14.0
2020.0,Male,55-64 years,1141.0,1197.0,12.0
2020.0,Male,65-74 years,1879.0,2111.0,15.0
2020.0,Male,75-84 years,1808.0,2007.0,10.0
2020.0,All Sexes,1-4 years,0.0,0.0,0.0
2020.0,All Sexes,65-74 years,506.0,537.0,12.0
2020.0,All Sexes,75-84 years,683.0,667.0,11.0
2020.0,All Sexes,85 years and over,928.0,726.0,19.0
2020.0,Male,1-4 years,0.0,0.0,0.0
2020.0,Male,35-44 years,23.0,23.0,0.0
2020.0,Female,5-14 years,0.0,0.0,0.0
2020.0,Female,45-54 years,29.0,41.0,0.0
2020.0,Female,85 years and over,549.0,389.0,11.0
2020.0,All Sexes,45-54 years,1798.0,1269.0,14.0
2020.0,All Sexes,50-64 years,5543.0,4093.0,28.0
2020.0,All Sexes,55-64 years,4397.0,3290.0,22.0
2020.0,All Sexes,65-74 years,6725.0,5238.0,29.0
2020.0,All Sexes,75-84 years,8375.0,6917.0,40.0
2020.0,All Sexes,85 years and over,9866.0,7868.0,66.0
2020.0,Male,15-24 years,33.0,33.0,0.0
2020.0,Male,45-54 years,1246.0,832.0,13.0
2020.0,Male,50-64 years,3632.0,2633.0,16.0
